               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10051,            0.034909,            0.058525,             0.81135,            0.046434,            0.030576,            0.010043,            0.080596,            0.023818,            0.042718,            0.070233,           0.0033075,           0.0033075
                   1,            0.078741,            0.028286,            0.035227,             0.87851,            0.066094,            0.054491,            0.018556,            0.077431,            0.018619,            0.034074,            0.040101,           0.0065093,           0.0065093
                   2,            0.074271,            0.025119,            0.030055,             0.90468,            0.086641,            0.088621,            0.031985,            0.070582,            0.017621,            0.029815,           0.0098376,           0.0095792,           0.0095792
                   3,            0.067389,            0.023914,            0.027164,             0.92259,            0.094418,             0.13625,            0.052872,            0.061227,            0.017162,            0.026453,            0.009406,            0.009406,            0.009406
                   4,            0.062056,            0.023858,            0.023755,             0.79343,             0.18095,             0.19407,            0.071643,            0.058714,            0.018081,            0.023796,            0.009406,            0.009406,            0.009406
                   5,            0.058785,            0.022565,            0.021934,              0.7979,             0.18578,             0.20579,            0.086605,            0.058137,            0.016432,            0.021472,            0.009208,            0.009208,            0.009208
                   6,             0.05625,             0.02308,             0.01987,             0.80424,             0.22167,             0.23455,            0.097975,            0.053356,             0.01624,            0.019757,             0.00901,             0.00901,             0.00901
                   7,            0.054514,            0.022149,            0.018975,             0.82728,             0.23566,             0.26732,             0.10982,            0.054085,            0.016048,            0.019004,            0.008812,            0.008812,            0.008812
                   8,            0.052925,            0.022022,            0.018115,             0.77216,             0.27219,             0.29217,             0.12376,            0.050135,            0.016236,            0.018225,            0.008614,            0.008614,            0.008614
                   9,            0.051621,            0.021737,            0.016978,             0.78562,             0.27949,             0.31507,             0.13819,            0.049789,            0.015665,            0.017575,            0.008416,            0.008416,            0.008416
                  10,            0.050701,            0.021775,            0.016632,             0.82427,             0.26048,             0.32886,             0.14465,            0.050428,            0.015727,            0.017353,            0.008218,            0.008218,            0.008218
                  11,            0.049409,            0.021257,            0.015817,             0.77962,             0.29418,             0.32311,             0.14964,            0.047976,            0.015695,            0.016264,             0.00802,             0.00802,             0.00802
                  12,            0.048847,             0.02105,            0.015216,             0.80696,             0.31068,              0.3433,             0.16687,            0.047171,            0.016435,            0.015627,            0.007822,            0.007822,            0.007822
                  13,            0.048133,            0.021219,            0.015292,             0.80344,               0.327,             0.34929,             0.16074,            0.048215,             0.01585,            0.016118,            0.007624,            0.007624,            0.007624
                  14,            0.047753,            0.021168,            0.014279,               0.784,             0.30717,             0.31918,             0.14728,            0.048588,            0.015809,            0.015947,            0.007426,            0.007426,            0.007426
                  15,            0.046877,             0.02096,            0.014797,             0.77672,             0.35026,             0.34866,             0.17533,            0.046247,            0.015164,            0.014986,            0.007228,            0.007228,            0.007228
                  16,            0.046415,            0.020857,            0.014049,              0.8288,             0.34264,             0.37889,             0.17423,            0.045603,            0.015267,            0.014535,             0.00703,             0.00703,             0.00703
                  17,            0.046124,            0.020547,            0.013971,              0.8354,             0.35018,             0.37652,             0.18238,            0.045053,            0.015029,            0.014263,            0.006832,            0.006832,            0.006832
                  18,            0.045308,            0.020891,            0.012872,              0.8461,             0.34013,             0.37863,              0.1882,            0.045412,            0.015425,            0.014427,            0.006634,            0.006634,            0.006634
                  19,            0.044707,            0.020425,            0.013548,             0.86663,             0.32788,             0.36922,             0.18593,            0.044098,            0.014832,            0.015008,            0.006436,            0.006436,            0.006436
                  20,            0.043938,            0.020192,            0.012901,             0.80829,             0.35877,             0.37468,             0.18954,            0.043978,            0.014649,             0.01436,            0.006238,            0.006238,            0.006238
                  21,            0.043474,            0.019617,            0.012316,             0.77642,             0.34233,             0.36844,             0.19745,            0.043758,            0.014966,            0.014074,             0.00604,             0.00604,             0.00604
                  22,            0.042944,            0.020028,            0.012556,             0.82892,             0.36885,             0.38357,             0.19313,            0.043134,            0.014745,            0.013957,            0.005842,            0.005842,            0.005842
                  23,            0.042498,            0.019774,            0.012176,             0.85747,             0.34083,             0.38588,             0.19913,            0.042759,             0.01519,            0.013852,            0.005644,            0.005644,            0.005644
                  24,            0.042381,            0.019858,             0.01217,              0.8206,             0.36686,             0.39655,             0.21245,            0.042256,              0.0146,            0.013147,            0.005446,            0.005446,            0.005446
                  25,            0.042411,            0.019476,            0.011668,             0.85211,             0.35814,             0.39864,             0.21047,            0.042062,            0.014417,            0.013379,            0.005248,            0.005248,            0.005248
                  26,            0.041404,            0.019101,            0.011493,             0.76169,             0.34702,             0.38036,             0.20388,            0.042306,             0.01478,            0.013587,             0.00505,             0.00505,             0.00505
                  27,            0.041199,            0.019583,            0.011525,              0.8692,             0.36518,             0.39676,             0.21012,            0.041807,            0.014611,            0.013104,            0.004852,            0.004852,            0.004852
                  28,             0.04064,            0.019316,            0.011102,             0.82636,             0.36692,             0.38438,             0.21209,            0.041496,            0.014543,            0.013553,            0.004654,            0.004654,            0.004654
                  29,            0.040214,            0.018969,            0.010928,             0.81032,             0.35596,             0.39268,             0.20711,            0.041641,            0.014645,             0.01321,            0.004456,            0.004456,            0.004456
                  30,            0.039843,            0.019133,            0.011328,             0.78355,             0.36047,             0.39404,             0.21731,            0.040893,             0.01448,            0.013092,            0.004258,            0.004258,            0.004258
                  31,            0.040021,            0.019243,            0.010699,             0.81356,             0.35998,             0.41007,              0.2169,            0.041072,            0.014449,            0.012632,             0.00406,             0.00406,             0.00406
                  32,            0.039584,            0.018574,            0.010445,              0.7732,             0.37261,             0.39634,              0.2103,            0.040928,            0.014564,            0.012577,            0.003862,            0.003862,            0.003862
                  33,            0.039082,            0.018718,            0.010621,             0.77998,             0.36324,              0.3854,             0.20977,            0.040928,            0.014628,            0.012665,            0.003664,            0.003664,            0.003664
                  34,            0.038469,            0.017928,            0.010497,             0.86537,             0.36246,             0.39387,             0.21622,            0.040568,            0.014385,            0.012296,            0.003466,            0.003466,            0.003466
                  35,            0.038236,             0.01895,            0.010065,             0.81599,             0.36916,              0.4114,             0.22025,            0.040048,            0.014504,            0.012893,            0.003268,            0.003268,            0.003268
                  36,            0.037478,            0.018218,            0.010042,              0.8027,             0.36155,             0.40034,             0.21898,            0.039758,            0.014385,            0.012568,             0.00307,             0.00307,             0.00307
                  37,            0.037842,            0.018702,             0.01002,             0.81704,              0.3656,             0.40113,             0.22376,             0.03968,            0.014104,            0.012279,            0.002872,            0.002872,            0.002872
                  38,            0.037076,            0.017839,           0.0096346,              0.8081,             0.37949,             0.41004,              0.2241,            0.039899,            0.014286,            0.012211,            0.002674,            0.002674,            0.002674
                  39,            0.036847,            0.018526,           0.0093479,              0.8199,             0.36839,             0.40978,             0.22846,            0.039417,            0.014323,            0.012469,            0.002476,            0.002476,            0.002476
                  40,            0.036317,             0.01793,           0.0093191,             0.81439,             0.36528,             0.40483,             0.23012,            0.039282,            0.014009,            0.012038,            0.002278,            0.002278,            0.002278
                  41,            0.035909,            0.017618,           0.0091648,             0.84844,             0.37835,             0.40834,             0.22876,            0.039243,            0.014139,            0.012151,             0.00208,             0.00208,             0.00208
                  42,            0.035922,            0.017833,           0.0090967,             0.81518,             0.36587,             0.40632,              0.2283,            0.039459,            0.014132,             0.01237,            0.001882,            0.001882,            0.001882
                  43,            0.036174,            0.018495,           0.0095703,             0.80705,             0.36769,             0.40336,             0.22851,            0.038768,             0.01414,             0.01228,            0.001684,            0.001684,            0.001684
                  44,            0.034905,            0.018054,           0.0089789,             0.81798,              0.3643,              0.3972,             0.22534,            0.039044,             0.01422,            0.012351,            0.001486,            0.001486,            0.001486
                  45,             0.03484,            0.017603,           0.0088902,             0.82704,             0.36766,             0.41313,             0.23356,            0.039016,            0.014102,            0.012183,            0.001288,            0.001288,            0.001288
                  46,            0.034647,            0.017783,           0.0086713,             0.82199,             0.36929,             0.40529,             0.23442,            0.038659,            0.014204,            0.012404,             0.00109,             0.00109,             0.00109
